timestamp,datapath,rx-pkts,rx-bytes,rx-error,rx_dropped,tx-pkts,tx-bytes,tx-error,tx_dropped,duration_nsec,label
1694687133.15307,3,144,17934,0,0,72,8750,0,0,8,0
1694687133.15307,3,25,2936,0,0,188,23227,0,0,8,0
1694687133.15307,3,27,3096,0,0,178,22084,0,0,8,0
1694687133.15307,3,25,2936,0,0,187,23137,0,0,8,0
1694687133.15307,3,0,0,0,183,0,0,0,0,8,0
1694687133.154836,1,55,6763,0,0,163,20335,0,0,8,0
1694687133.154836,1,72,8750,0,0,144,17934,0,0,8,0
1694687133.154836,1,86,10420,0,0,129,16051,0,0,8,0
1694687133.154836,1,19,2456,0,0,198,24441,0,0,8,0
1694687133.154836,1,0,0,0,186,0,0,0,0,8,0
1694687133.158119,2,163,20335,0,0,55,6763,0,0,8,0
1694687133.158119,2,21,2596,0,0,199,24805,0,0,8,0
1694687133.158119,2,27,3096,0,0,191,23879,0,0,8,0
1694687133.158119,2,23,2776,0,0,197,24719,0,0,8,0
1694687133.158119,2,0,0,0,189,0,0,0,0,8,0
1694687133.158775,15,179,22625,0,0,35,3736,0,0,8,0
1694687133.158775,15,8,716,0,0,201,24992,0,0,8,0
1694687133.158775,15,9,802,0,0,202,25062,0,0,8,0
1694687133.158775,15,9,806,0,0,201,24972,0,0,8,0
1694687133.158775,15,9,802,0,0,201,24972,0,0,8,0
1694687133.158775,15,0,0,0,185,0,0,0,0,8,0
1694687133.159262,4,129,16051,0,0,86,10420,0,0,8,0
1694687133.159262,4,22,2686,0,0,193,23785,0,0,8,0
1694687133.159262,4,24,2846,0,0,189,23302,0,0,8,0
1694687133.159262,4,25,2936,0,0,188,23212,0,0,8,0
1694687133.159262,4,35,3736,0,0,179,22625,0,0,8,0
1694687133.159262,4,0,0,0,185,0,0,0,0,8,0
1694687133.159723,7,10,852,0,0,207,25909,0,0,8,0
1694687133.159723,7,12,1052,0,0,207,25889,0,0,8,0
1694687133.159723,7,197,24719,0,0,23,2776,0,0,8,0
1694687133.159723,7,0,0,0,189,0,0,0,0,8,0
1694687133.160152,14,198,24441,0,0,19,2456,0,0,8,0
1694687133.160152,14,0,0,0,189,0,0,0,0,8,0
1694687133.160554,5,10,852,0,0,211,26475,0,0,8,0
1694687133.160554,5,10,852,0,0,210,26405,0,0,8,0
1694687133.160554,5,199,24805,0,0,21,2596,0,0,8,0
1694687133.160554,5,0,0,0,191,0,0,0,0,8,0
1694687133.160981,6,10,852,0,0,206,25839,0,0,8,0
1694687133.160981,6,10,852,0,0,207,25929,0,0,8,0
1694687133.160981,6,191,23879,0,0,27,3096,0,0,8,0
1694687133.160981,6,0,0,0,190,0,0,0,0,8,0
1694687133.161668,10,10,852,0,0,203,25049,0,0,8,0
1694687133.161668,10,10,852,0,0,202,24959,0,0,8,0
1694687133.161668,10,188,23212,0,0,25,2936,0,0,8,0
1694687133.161668,10,0,0,0,185,0,0,0,0,8,0
1694687133.162299,11,11,982,0,0,202,25117,0,0,8,0
1694687133.162299,11,10,852,0,0,205,25347,0,0,8,0
1694687133.162299,11,188,23227,0,0,25,2936,0,0,8,0
1694687133.162299,11,0,0,0,186,0,0,0,0,8,0
1694687133.16291,9,10,852,0,0,202,24939,0,0,8,0
1694687133.16291,9,10,852,0,0,199,24689,0,0,8,0
1694687133.16291,9,189,23302,0,0,24,2846,0,0,8,0
