timestamp,switch,eth_src,eth_dst,eth_type,src_ip,dst_ip,cookie,table_id,packet_count,byte_count,idle_timeout_s,hard_timeout_s,in_port,dur,dur_nsec,label
1695491865.99492,00:00:00:00:00:00:00:0d,02:00:00:00:00:01,0e:53:0e:e7:c2:6e,0x806,N/A,N/A,9007199909052416,N/A,1,42,5,0,3,5,174000000,0
1695491865.99492,00:00:00:00:00:00:00:0d,02:00:00:00:00:01,2e:0d:67:ce:f5:ba,0x806,N/A,N/A,9007200043270144,N/A,1,42,5,0,3,5,144000000,0
1695491865.99492,00:00:00:00:00:00:00:0d,7a:99:34:e1:18:60,0e:53:0e:e7:c2:6e,0x800,172.24.16.6,172.24.16.17,9007199388958720,N/A,6,588,5,0,3,5,280000000,0
1695491865.99492,00:00:00:00:00:00:00:0d,2e:0d:67:ce:f5:ba,94:50:ab:97:e7:84,0x800,172.24.16.18,172.24.16.5,9007199288295424,N/A,5,490,5,0,2,5,280000000,0
1695491865.99492,00:00:00:00:00:00:00:0d,0e:53:0e:e7:c2:6e,5e:7d:a0:c9:22:15,0x800,172.24.16.17,172.24.16.11,9007199607062528,N/A,5,490,5,0,1,5,185000000,0
1695491865.99492,00:00:00:00:00:00:00:0d,0e:53:0e:e7:c2:6e,7a:99:34:e1:18:60,0x800,172.24.16.17,172.24.16.6,9007200026492928,N/A,5,490,5,0,1,5,156000000,0
1695491865.99492,00:00:00:00:00:00:00:0d,94:50:ab:97:e7:84,2e:0d:67:ce:f5:ba,0x800,172.24.16.5,172.24.16.18,9007200060047360,N/A,5,490,5,0,3,5,143000000,0
1695491865.99492,00:00:00:00:00:00:00:0d,5e:7d:a0:c9:22:15,0e:53:0e:e7:c2:6e,0x800,172.24.16.11,172.24.16.17,9007200697581568,N/A,6,588,5,0,3,5,18000000,0
1695491865.99492,00:00:00:00:00:00:00:0d,0e:53:0e:e7:c2:6e,02:00:00:00:00:01,0x800,172.24.16.17,172.24.16.20,9007200529809408,N/A,0,0,5,0,1,5,60000000,0
1695491865.99492,00:00:00:00:00:00:00:0d,2e:0d:67:ce:f5:ba,02:00:00:00:00:01,0x800,172.24.16.18,172.24.16.20,9007200546586624,N/A,0,0,5,0,2,5,60000000,0
1695491865.99492,00:00:00:00:00:00:00:0d,02:00:00:00:00:01,0e:53:0e:e7:c2:6e,0x800,172.24.16.20,172.24.16.17,9007200764690432,N/A,1,74,5,0,3,4,996000000,0
1695491865.99492,00:00:00:00:00:00:00:0d,02:00:00:00:00:01,2e:0d:67:ce:f5:ba,0x800,172.24.16.20,172.24.16.18,9007200798244864,N/A,1,74,5,0,3,4,996000000,0
1695491865.99492,00:00:00:00:00:00:00:0d,0e:53:0e:e7:c2:6e,02:00:00:00:00:01,0x800,172.24.16.17,172.24.16.20,9007201653882880,N/A,10104,297823084,5,0,1,4,789000000,0
1695491865.99492,00:00:00:00:00:00:00:0d,0e:53:0e:e7:c2:6e,02:00:00:00:00:01,0x800,172.24.16.17,172.24.16.20,9007201670660096,N/A,4393,6572282,5,0,1,4,789000000,0
1695491865.99492,00:00:00:00:00:00:00:0d,2e:0d:67:ce:f5:ba,02:00:00:00:00:01,0x800,172.24.16.18,172.24.16.20,9007202324971520,N/A,7807,341852830,5,0,2,4,786000000,0
1695491865.99492,00:00:00:00:00:00:00:0d,2e:0d:67:ce:f5:ba,02:00:00:00:00:01,0x800,172.24.16.18,172.24.16.20,9007202375303168,N/A,4054,6131308,5,0,2,4,786000000,0
1695491865.99492,00:00:00:00:00:00:00:0d,02:00:00:00:00:01,0e:53:0e:e7:c2:6e,0x800,172.24.16.20,172.24.16.17,9007205948850176,N/A,2,188,5,0,3,4,310000000,0
1695491865.99492,00:00:00:00:00:00:00:0d,02:00:00:00:00:01,2e:0d:67:ce:f5:ba,0x800,172.24.16.20,172.24.16.18,9007205982404608,N/A,2,200,5,0,3,4,307000000,0
1695491865.99492,00:00:00:00:00:00:00:0d,02:00:00:00:00:01,0e:53:0e:e7:c2:6e,0x800,172.24.16.20,172.24.16.17,9007206385057792,N/A,11012,831328,5,0,3,4,266000000,0
1695491865.99492,00:00:00:00:00:00:00:0d,02:00:00:00:00:01,2e:0d:67:ce:f5:ba,0x800,172.24.16.20,172.24.16.18,9007206485721088,N/A,7605,575226,5,0,3,4,227000000,0
1695491865.99492,00:00:00:00:00:00:00:0d,N/A,N/A,N/A,N/A,N/A,0,N/A,155,43250,0,0,N/A,20,618000000,0
1695491865.99492,00:00:00:00:00:00:00:0e,N/A,N/A,N/A,N/A,N/A,0,N/A,126,14914,0,0,N/A,20,552000000,0
1695491865.99492,00:00:00:00:00:00:00:0b,12:29:fb:48:15:e7,72:ad:29:aa:19:e9,0x806,N/A,N/A,9007199674171392,N/A,2,84,5,0,3,5,210000000,0
1695491865.99492,00:00:00:00:00:00:00:0b,02:00:00:00:00:01,12:a8:b5:1f:54:b6,0x806,N/A,N/A,9007200244596736,N/A,1,42,5,0,3,5,125000000,0
1695491865.99492,00:00:00:00:00:00:00:0b,02:00:00:00:00:01,72:ad:29:aa:19:e9,0x806,N/A,N/A,9007200261373952,N/A,1,42,5,0,3,5,115000000,0
1695491865.99492,00:00:00:00:00:00:00:0b,72:ad:29:aa:19:e9,12:29:fb:48:15:e7,0x806,N/A,N/A,9007209069412352,N/A,0,0,5,0,2,0,191000000,0
1695491865.99492,00:00:00:00:00:00:00:0b,72:ad:29:aa:19:e9,12:29:fb:48:15:e7,0x800,172.24.16.14,172.24.16.8,9007199321849856,N/A,5,490,5,0,2,5,273000000,0
1695491865.99492,00:00:00:00:00:00:00:0b,12:a8:b5:1f:54:b6,e0:19:6b:4d:dd:29,0x800,172.24.16.13,172.24.16.2,9007199590285312,N/A,5,490,5,0,1,5,210000000,0
1695491865.99492,00:00:00:00:00:00:00:0b,12:29:fb:48:15:e7,72:ad:29:aa:19:e9,0x800,172.24.16.8,172.24.16.14,9007199808389120,N/A,6,588,5,0,3,5,189000000,0
1695491865.99492,00:00:00:00:00:00:00:0b,e0:19:6b:4d:dd:29,12:a8:b5:1f:54:b6,0x800,172.24.16.2,172.24.16.13,9007200076824576,N/A,6,588,5,0,3,5,148000000,0
1695491865.99492,00:00:00:00:00:00:00:0b,12:a8:b5:1f:54:b6,02:00:00:00:00:01,0x800,172.24.16.13,172.24.16.20,9007200429146112,N/A,0,0,5,0,1,5,68000000,0
1695491865.99492,00:00:00:00:00:00:00:0b,72:ad:29:aa:19:e9,02:00:00:00:00:01,0x800,172.24.16.14,172.24.16.20,9007200445923328,N/A,0,0,5,0,2,5,68000000,0
1695491865.99492,00:00:00:00:00:00:00:0b,02:00:00:00:00:01,12:a8:b5:1f:54:b6,0x800,172.24.16.20,172.24.16.13,9007200915685376,N/A,1,74,5,0,3,4,961000000,0
1695491865.99492,00:00:00:00:00:00:00:0b,02:00:00:00:00:01,72:ad:29:aa:19:e9,0x800,172.24.16.20,172.24.16.14,9007201888763904,N/A,1,74,5,0,3,4,922000000,0
1695491865.99492,00:00:00:00:00:00:00:0b,12:a8:b5:1f:54:b6,02:00:00:00:00:01,0x800,172.24.16.13,172.24.16.20,9007202945728512,N/A,6379,221523710,5,0,1,4,649000000,0
1695491865.99492,00:00:00:00:00:00:00:0b,12:a8:b5:1f:54:b6,02:00:00:00:00:01,0x800,172.24.16.13,172.24.16.20,9007203029614592,N/A,1937,2918634,5,0,1,4,649000000,0
1695491865.99492,00:00:00:00:00:00:00:0b,72:ad:29:aa:19:e9,02:00:00:00:00:01,0x800,172.24.16.14,172.24.16.20,9007203482599424,N/A,5766,225490660,5,0,2,4,641000000,0
1695491865.99492,00:00:00:00:00:00:00:0b,72:ad:29:aa:19:e9,02:00:00:00:00:01,0x800,172.24.16.14,172.24.16.20,9007203516153856,N/A,2314,3497244,5,0,2,4,641000000,0
1695491865.99492,00:00:00:00:00:00:00:0b,02:00:00:00:00:01,12:a8:b5:1f:54:b6,0x800,172.24.16.20,172.24.16.13,9007206066290688,N/A,2,188,5,0,3,4,296000000,0
1695491865.99492,00:00:00:00:00:00:00:0b,02:00:00:00:00:01,12:a8:b5:1f:54:b6,0x800,172.24.16.20,172.24.16.13,9007207358136320,N/A,5862,467456,5,0,3,4,120000000,0
1695491865.99492,00:00:00:00:00:00:00:0b,02:00:00:00:00:01,72:ad:29:aa:19:e9,0x800,172.24.16.20,172.24.16.14,9007208515764224,N/A,1,94,5,0,3,3,978000000,0
1695491865.99492,00:00:00:00:00:00:00:0b,02:00:00:00:00:01,72:ad:29:aa:19:e9,0x800,172.24.16.20,172.24.16.14,9007208767422464,N/A,5609,412346,5,0,3,3,931000000,0
1695491865.99492,00:00:00:00:00:00:00:0b,N/A,N/A,N/A,N/A,N/A,0,N/A,154,43022,0,0,N/A,20,609000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,02:00:00:00:00:01,ba:ac:3e:25:c0:d1,0x806,N/A,N/A,9007200311705600,N/A,1,42,5,0,3,5,108000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,02:00:00:00:00:01,6a:b4:67:f6:d8:ab,0x806,N/A,N/A,9007200328482816,N/A,1,42,5,0,3,5,107000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,12:29:fb:48:15:e7,ba:ac:3e:25:c0:d1,0x800,172.24.16.8,172.24.16.15,9007199472844800,N/A,6,588,5,0,3,5,216000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,94:50:ab:97:e7:84,6a:b4:67:f6:d8:ab,0x800,172.24.16.5,172.24.16.16,9007199573508096,N/A,6,588,5,0,3,5,215000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,9a:e2:59:1f:df:d6,6a:b4:67:f6:d8:ab,0x800,172.24.16.4,172.24.16.16,9007199758057472,N/A,5,490,5,0,3,5,155000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,6a:b4:67:f6:d8:ab,16:0d:a2:c9:0f:83,0x800,172.24.16.16,172.24.16.9,9007199724503040,N/A,5,490,5,0,2,5,155000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,ba:ac:3e:25:c0:d1,ba:2e:c8:df:0e:c9,0x800,172.24.16.15,172.24.16.1,9007199925829632,N/A,5,490,5,0,1,5,135000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,ba:2e:c8:df:0e:c9,ba:ac:3e:25:c0:d1,0x800,172.24.16.1,172.24.16.15,9007200227819520,N/A,6,588,5,0,3,5,108000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,16:0d:a2:c9:0f:83,6a:b4:67:f6:d8:ab,0x800,172.24.16.9,172.24.16.16,9007200278151168,N/A,6,588,5,0,3,5,108000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,ba:ac:3e:25:c0:d1,12:29:fb:48:15:e7,0x800,172.24.16.15,172.24.16.8,9007200211042304,N/A,5,490,5,0,1,5,108000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,6a:b4:67:f6:d8:ab,94:50:ab:97:e7:84,0x800,172.24.16.16,172.24.16.5,9007200294928384,N/A,5,490,5,0,2,5,107000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,6a:b4:67:f6:d8:ab,9a:e2:59:1f:df:d6,0x800,172.24.16.16,172.24.16.4,9007200362037248,N/A,5,490,5,0,2,5,78000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,ba:ac:3e:25:c0:d1,02:00:00:00:00:01,0x800,172.24.16.15,172.24.16.20,9007200496254976,N/A,0,0,5,0,1,5,39000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,6a:b4:67:f6:d8:ab,02:00:00:00:00:01,0x800,172.24.16.16,172.24.16.20,9007200513032192,N/A,0,0,5,0,2,5,39000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,02:00:00:00:00:01,ba:ac:3e:25:c0:d1,0x800,172.24.16.20,172.24.16.15,9007200848576512,N/A,1,74,5,0,3,4,986000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,02:00:00:00:00:01,6a:b4:67:f6:d8:ab,0x800,172.24.16.20,172.24.16.16,9007200865353728,N/A,1,74,5,0,3,4,986000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,ba:ac:3e:25:c0:d1,02:00:00:00:00:01,0x800,172.24.16.15,172.24.16.20,9007202106867712,N/A,6674,280063596,5,0,1,4,749000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,ba:ac:3e:25:c0:d1,02:00:00:00:00:01,0x800,172.24.16.15,172.24.16.20,9007202123644928,N/A,290,415076,5,0,1,4,749000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,6a:b4:67:f6:d8:ab,02:00:00:00:00:01,0x800,172.24.16.16,172.24.16.20,9007202744401920,N/A,6121,255185346,5,0,2,4,731000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,6a:b4:67:f6:d8:ab,02:00:00:00:00:01,0x800,172.24.16.16,172.24.16.20,9007202761179136,N/A,1471,2219326,5,0,2,4,730000000,0
