timestamp,datapath,rx-pkts,rx-bytes,rx-error,rx_dropped,tx-pkts,tx-bytes,tx-error,tx_dropped,duration_nsec,label
1694615699.817836,6,10,892,0,0,170,19010,0,0,5,0
1694615699.817836,6,10,892,0,0,171,19100,0,0,5,0
1694615699.817836,6,10,892,0,0,170,19010,0,0,5,0
1694615699.817836,6,144,15957,0,0,33,3639,0,0,5,0
1694615699.817836,6,0,0,0,156,0,0,0,0,5,0
1694615699.818086,1,45012,2971388,0,0,141010,7629136162,0,0,5,0
1694615699.818086,1,140860,7629119056,0,0,45169,2989216,0,0,5,0
1694615699.818086,1,10,892,0,0,163,18300,0,0,5,0
1694615699.818086,1,147,16387,0,0,36,3785,0,0,5,0
1694615699.818086,1,0,0,0,148,0,0,0,0,5,0
1694615699.827165,3,10,892,0,0,171,19120,0,0,5,0
1694615699.827165,3,10,892,0,0,171,19120,0,0,5,0
1694615699.827165,3,10,892,0,0,169,18924,0,0,5,0
1694615699.827165,3,63,6828,0,0,123,13594,0,0,5,0
1694615699.827165,3,94,10355,0,0,92,10067,0,0,5,0
1694615699.827165,3,0,0,0,156,0,0,0,0,5,0
1694615699.827333,4,10,892,0,0,171,19120,0,0,5,0
1694615699.827333,4,9,806,0,0,172,19190,0,0,5,0
1694615699.827333,4,10,892,0,0,169,18920,0,0,5,0
1694615699.827333,4,92,10067,0,0,94,10355,0,0,5,0
1694615699.827333,4,66,7202,0,0,120,13220,0,0,5,0
1694615699.827333,4,0,0,0,156,0,0,0,0,5,0
1694615699.827474,5,9,806,0,0,171,19120,0,0,5,0
1694615699.827474,5,15,1326,0,0,176,19582,0,0,5,0
1694615699.827474,5,9,802,0,0,171,19104,0,0,5,0
1694615699.827474,5,120,13220,0,0,66,7202,0,0,5,0
1694615699.827474,5,33,3639,0,0,144,15957,0,0,5,0
1694615699.827474,5,0,0,0,156,0,0,0,0,5,0
1694615699.827611,2,10,892,0,0,168,18890,0,0,5,0
1694615699.827611,2,10,892,0,0,169,18940,0,0,5,0
1694615699.827611,2,10,892,0,0,169,18940,0,0,5,0
1694615699.827611,2,36,3785,0,0,147,16387,0,0,5,0
1694615699.827611,2,123,13594,0,0,63,6828,0,0,5,0
1694615699.827611,2,0,0,0,153,0,0,0,0,5,0
1694615709.821815,1,135303,8931234,0,0,428444,23160499010,0,0,15,0
